"","Variable","Unit","Value","Min","Max","isInteger","parscale","distance","MaxAfterDet","MinAfterDet","MinNotDeterminedBorder","MinBorderLogLikeError","MinKickParmsErrorRangeDet","MinBoundByAuthors","MaxNotDeterminedBorder","MaxBorderLogLikeError","MaxKickParmsErrorRangeDet","MaxBoundByAuthors"
"44","Total Food Demand.time to adjust consumption pattern[1]",0,1,1,1,FALSE,0.0366671688964312,0,1,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"45","Total Food Demand.time to adjust desired demand from accessibility[1]",0,1.22985155285855,1,1.4597031057171,FALSE,0.0517059876983366,0.22985155285855,1.4597031057171,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"46","Total Food Demand.time to adjust value perception[1]",0,4.25095395897896,3,5.50190791795792,FALSE,0.258697939616344,1.25095395897896,5.50190791795792,3,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"47","Total Food Demand.time to observe consequences[1]",0,7.43228905745963,5.65921408251259,9.20536403240667,FALSE,2.26429027252934,1.77307497494704,9.20536403240667,5.65921408251259,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"48","Total Food Demand.time to perceive average consumption[1]",0,1.11542399636206,1,1.23084799272412,FALSE,0.196283989015322,0.11542399636206,1.23084799272412,1,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"71","Emissions.baseline Food and Land use CH4 emissions[1]",0,46.7098266259576,46.1225550643167,47.2970981875985,FALSE,0.173476508329058,0.587271561640939,47.2970981875985,46.1225550643167,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"72","Emissions.baseline Food and Land Use N2O emissions[1]",0,3691.19740990857,3631.84736099467,3750.54745882247,FALSE,26.5249396968034,59.3500489139042,3750.54745882247,3631.84736099467,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"73","Emissions.baseline GDP per person[1]",0,7.508917812,6.8317451798534,8.1860904441466,FALSE,0.346748830417391,0.677172632146596,8.1860904441466,6.8317451798534,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"74","Emissions.baseline HFC134a eq per person[1]",0,0.00152911881560677,0.00151905703385689,0.00153918059735665,FALSE,1.55545317706957e-06,1.00617817498832e-05,0.00153918059735665,0.00151905703385689,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"75","Emissions.baseline N2O per person[1]",0,0.000132942470536747,0.000130991650321536,0.000134893290751958,FALSE,6.9905084899477e-07,1.95082021521117e-06,0.000134893290751958,0.000130991650321536,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"76","Emissions.baseline non fossil CH4 per person[1]",0,0.00981195479395444,0.00971147395602459,0.00991243563188429,FALSE,3.35286090592748e-05,0.000100480837929852,0.00991243563188429,0.00971147395602459,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"77","Emissions.desulphurisation rate of energy related emissions[1, Gas]",0,-0.0361797285928523,-0.0390031467605426,-0.033356310425162,FALSE,0.000610747214267839,0.00282341816769028,-0.033356310425162,-0.0390031467605426,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"78","Emissions.desulphurisation rate of energy related emissions[1, Oil]",0,-0.0188666699148905,-0.0217114681921362,-0.0160218716376448,FALSE,0.000609420094006689,0.00284479827724568,-0.0160218716376448,-0.0217114681921362,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"79","Emissions.desulphurisation rate of energy related emissions[1, Coal]",0,-0.0383582127304921,-0.0395321045379811,-0.0371843209230031,FALSE,0.000249262507762731,0.00117389180748899,-0.0371843209230031,-0.0395321045379811,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"80","Emissions.effective CDD logistic speed[1]",0,3.34499805495326,3.33490828822026,3.35508782168626,FALSE,0.00155644397400767,0.0100897667330049,3.35508782168626,3.33490828822026,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"81","Emissions.Initial Fossil Energy CH4 Intensity[1, Gas]",0,28.9345478534253,25.1539021333122,32.7151935735384,FALSE,4.48533095366493,3.78064572011306,32.7151935735384,25.1539021333122,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"82","Emissions.Initial Fossil Energy CH4 Intensity[1, Oil]",0,19.0025146824999,17.9767138282488,20.028315536751,FALSE,0.311263473004622,1.02580085425105,20.028315536751,17.9767138282488,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"83","Emissions.Initial Fossil Energy CH4 Intensity[1, Coal]",0,34.4451718431361,34.0750923430238,34.8152513432484,FALSE,0.0843245201219995,0.370079500112347,34.8152513432484,34.0750923430238,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"84","Emissions.Initial Fossil Energy N2O Intensity[1, Gas]",0,226.848954704993,183.428637683417,270.269271726569,FALSE,11.2212927000697,43.4203170215756,270.269271726569,183.428637683417,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"85","Emissions.Initial Fossil Energy N2O Intensity[1, Oil]",0,277.709310218157,259.588764860054,295.82985557626,FALSE,5.22949175817944,18.1205453581026,295.82985557626,259.588764860054,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"86","Emissions.Initial Fossil Energy N2O Intensity[1, Coal]",0,499.639768375586,499.279536751172,500,FALSE,6.86774803260864,0.360231624413984,500,499.279536751172,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE
"87","Emissions.Initial Fossil Energy Sulfur Intensity[1, Gas]",0,40.041761579119,37.9792514056846,42.1042717525533,FALSE,0.380208375632513,2.06251017343435,42.1042717525533,37.9792514056846,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"88","Emissions.Initial Fossil Energy Sulfur Intensity[1, Oil]",0,12.5311771546941,11.8453170887959,13.2170372205923,FALSE,0.126513358185783,0.685860065898151,13.2170372205923,11.8453170887959,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"89","Emissions.Initial Fossil Energy Sulfur Intensity[1, Coal]",0,48.4416379781151,47.5834401293201,49.2998358269101,FALSE,0.151813977871757,0.858197848794966,49.2998358269101,47.5834401293201,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"90","Emissions.MtCH4 emission per PCal animal products 1980[1]",0,0.117148779927286,0.116338784718629,0.117958775135943,FALSE,0.00124160456104679,0.000809995208657432,0.117958775135943,0.116338784718629,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"91","Emissions.MtN2O emission per PCal animal products 1980[1]",0,0.00256924857836404,0.00251017695627286,0.00262832020045522,FALSE,2.31614136142472e-05,5.90716220911819e-05,0.00262832020045522,0.00251017695627286,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"92","Emissions.rate of change in energy related CH4 emissions[1, Gas]",0,-0.0722212629576704,-0.0779167974355869,-0.0665257284797539,FALSE,0.000943938475251731,0.00569553447791646,-0.0665257284797539,-0.0779167974355869,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"93","Emissions.rate of change in energy related CH4 emissions[1, Oil]",0,-0.0447143748160744,-0.0469964258156968,-0.042432323816452,FALSE,0.000403263280092053,0.00228205099962243,-0.042432323816452,-0.0469964258156968,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"94","Emissions.rate of change in energy related CH4 emissions[1, Coal]",0,-0.00146366448317569,-0.00186367244947921,-0.00106365651687217,FALSE,9.95453770506168e-05,0.00040000796630352,-0.00106365651687217,-0.00186367244947921,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"95","Emissions.rate of change in energy related N2O emissions[1, Gas]",0,-0.0176993617033169,-0.0235894356089132,-0.0118092877977206,FALSE,0.000939039085467193,0.00589007390559629,-0.0118092877977206,-0.0235894356089132,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"96","Emissions.rate of change in energy related N2O emissions[1, Oil]",0,-0.00869805586799937,-0.0106300502409269,-0.00676606149507185,FALSE,0.00034744571865411,0.00193199437292752,-0.00676606149507185,-0.0106300502409269,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"97","Emissions.rate of change in energy related N2O emissions[1, Coal]",0,-0.023197225810528,-0.0246672503501389,-0.0217272012709171,FALSE,0.0002730961639117,0.00147002453961089,-0.0217272012709171,-0.0246672503501389,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"98","Emissions.rate of decline in MtCH4 emission per PCal animal products[1]",0,0.0140009683559439,0.0136817666063934,0.0143201701054944,FALSE,8.68657357219641e-05,0.000319201749550467,0.0143201701054944,0.0136817666063934,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"99","Emissions.rate of decline in MtN2O emission per PCal animal products[1]",0,0.00137867223604397,0.00061813083651291,0.00213921363557503,FALSE,0.000315891988939654,0.00076054139953106,0.00213921363557503,0.00061813083651291,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"100","Emissions.rate of decline in tN2O emission per tN fertilizer[1]",0,0.00596260172254414,0.00482488090123548,0.0071003225438528,FALSE,0.000494259724382602,0.00113772082130866,0.0071003225438528,0.00482488090123548,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"101","Emissions.sensitivity of HFC134a eq per person to relative CDD[1]",0,8.09022641255435,8.07472984735229,8.10572297775641,FALSE,0.00244320287584248,0.0154965652020618,8.10572297775641,8.07472984735229,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"102","Emissions.sensitivity of non fossil CH4 per person to GDP per capita[1]",0,0,-0.00460522069956612,0.00460522069956612,FALSE,0.00131139219408015,0.00460522069956612,0.00460522069956612,-0.00460522069956612,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"103","Emissions.sensitivity of Other N2O per person to GDP per capita[1]",0,-0.275015555994815,-0.299817133612578,-0.250213978377052,FALSE,0.00817378775523867,0.0248015776177633,-0.250213978377052,-0.299817133612578,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"104","Emissions.tN2O emission per tN fertilizer 1980[1]",0,0.0255426788719578,0.0247528526598673,0.0263325050840483,FALSE,0.000325192693159754,0.000789826212090474,0.0263325050840483,0.0247528526598673,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"112","Sea Level.scale factor Antarctic ice sheet[1]",0,0.5,0,1,FALSE,0.00192795489540577,0.5,1,0,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE
"113","Sea Level.scale factor Greenland ice sheet[1]",0,0.5,0,1,FALSE,0.0111042536967411,0.5,1,0,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE
"114","Sea Level.scale factor mountain glaciers[1]",0,0.5,0,1,FALSE,0.00209699968429226,0.5,1,0,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE
"115","Sea Level.scale factor thermosteric SLR[1]",0,0.5,0.437641155987604,0.562358844012396,FALSE,0.00938964172036746,0.0623588440123964,0.562358844012396,0.437641155987604,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"116","Sea Level.Water catchment per GW of hydropower[1]",0,3000967487.44708,2417207234.4252,3584727740.46896,FALSE,168313318.690262,583760253.021883,3584727740.46896,2417207234.4252,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"117","Terrestrial Carbon Balance.Global peatland carbon uptake rate[1]",0,0.299954605,0.29990921,0.3,FALSE,0.00796120962914084,4.53950000000036e-05,0.3,0.29990921,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE
"118","Demographics.1 to 20 mortality alpha[1]",0,0.509664010101724,0.506551634765553,0.512776385437895,FALSE,0.000757338231817436,0.00311237533617137,0.512776385437895,0.506551634765553,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"119","Demographics.1 to 20 mortality gamma[1]",0,-1.6600887557018,-1.71635858230481,-1.60381892909879,FALSE,0.0260429214228778,0.0562698266030146,-1.60381892909879,-1.71635858230481,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"120","Demographics.20 to 40 mortality alpha[1]",0,1.73425845327561,1.71634541881461,1.75217148773661,FALSE,0.00553137936630237,0.017913034460995,1.75217148773661,1.71634541881461,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"121","Demographics.20 to 40 mortality gamma[1]",0,-0.768847799914535,-0.815236864943058,-0.722458734886012,FALSE,0.0534874672045446,0.0463890650285235,-0.722458734886012,-0.815236864943058,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"122","Demographics.40 to 60 mortality alpha[1]",0,0.799577591516758,0.791037256916141,0.808117926117375,FALSE,0.00225878017489489,0.00854033460061698,0.808117926117375,0.791037256916141,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"124","Demographics.60 to 65 mortality alpha[1]",0,0.972528515477681,0.95870628698625,0.986350743969112,FALSE,0.00344761658560689,0.0138222284914306,0.986350743969112,0.95870628698625,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"125","Demographics.60 to 65 mortality gamma[1]",0,-0.698924628252629,-0.773049874610012,-0.624799381895246,FALSE,0.0808498075766597,0.0741252463573826,-0.624799381895246,-0.773049874610012,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"126","Demographics.65 to 75 mortality alpha[1]",0,1.09139038213875,1.0834105385889,1.0993702256886,FALSE,0.0129243448232297,0.00797984354984727,1.0993702256886,1.0834105385889,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"127","Demographics.65 to 75 mortality gamma[1]",0,-0.696338365907746,-0.744759945916782,-0.64791678589871,FALSE,0.0335889248214366,0.0484215800090361,-0.64791678589871,-0.744759945916782,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"128","Demographics.averaging time[1]",0,7,7,7,FALSE,0.10409299471707,0,7,7,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE
"129","Demographics.effect of GDP on female population literacy percentage constant[1]",0,-1.18404692170427,-1.19544997760107,-1.17264386580746,FALSE,0.00178948496505702,0.011403055896805,-1.17264386580746,-1.19544997760107,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"130","Demographics.effect of GDP on female population literacy percentage scale factor[1]",0,4.3771710217966,4.36549095866036,4.38885108493284,FALSE,0.0018363407829842,0.0116800631362421,4.38885108493284,4.36549095866036,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"131","Demographics.infant mortality alpha[1]",0,0.750394564495844,0.743619742403955,0.757169386587733,FALSE,0.00331578317204875,0.00677482209188918,0.757169386587733,0.743619742403955,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"132","Demographics.infant mortality gamma[1]",0,-1.44726010839169,-1.4632943713625,-1.43122584542088,FALSE,0.00252911127338099,0.0160342629708057,-1.43122584542088,-1.4632943713625,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"133","Demographics.initial average relative real gdp per person[1]",0,0.833323168072644,0.8296724500256,0.836973886119688,FALSE,0.00061714045821664,0.00365071804704409,0.836973886119688,0.8296724500256,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"134","Demographics.initial fertility[1]",0,3.86548518260393,3.86436429397764,3.86660607123022,FALSE,0.000171981826006002,0.00112088862628523,3.86660607123022,3.86436429397764,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"135","Demographics.Over 75 mortality alpha[1]",0,0.501025513144929,0.499027519921676,0.503023506368182,FALSE,0.00194170242203127,0.00199799322325256,0.503023506368182,0.499027519921676,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"136","Demographics.Over 75 mortality gamma[1]",0,-0.521727360380367,-0.538099047087627,-0.505355673673107,FALSE,0.00495955306704273,0.0163716867072597,-0.505355673673107,-0.538099047087627,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"137","Demographics.sensitivity of fertility to inverse GDP per person[1]",0,-0.416987950973114,-0.419379222893521,-0.414596679052707,FALSE,0.000363014508351372,0.00239127192040672,-0.414596679052707,-0.419379222893521,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"138","Demographics.sensitivity of fertility to literacy[1]",0,-0.018845205,-0.02,-0.0177,FALSE,5.38058829713687e-06,0.001145205,-0.0177,-0.02,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE
"139","Demographics.time to change fertility[1]",0,23.9972099925095,23.9450124117461,24.0494075732729,FALSE,0.0078437456965262,0.0521975807634476,24.0494075732729,23.9450124117461,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"140","Circular Flow.consumption habits adjustment time[1]",0,1.464111314,1.2410228492545,1.6871997787455,FALSE,0.0589241158076963,0.223088464745504,1.6871997787455,1.2410228492545,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"141","Circular Flow.desired savings as multiple of profits[1]",0,12.0061535532014,11.9891672439568,12.023139862446,FALSE,0.102381091215927,0.0169863092446469,12.023139862446,11.9891672439568,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"142","Circular Flow.desired savings as multiple of wages[1]",0,1.19760938234432,1.19001190997973,1.20520685470891,FALSE,0.00128592014102437,0.00759747236459463,1.20520685470891,1.19001190997973,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"143","Circular Flow.fraction of income to consumption[1]",0,0.75,0.748429427790795,0.751570572209205,FALSE,0.000253862811009793,0.00157057220920476,0.751570572209205,0.748429427790795,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
"144","Circular Flow.fraction of owner income to consumption[1]",0,0.75,0.746611643327666,0.753388356672334,FALSE,0.00055427398782518,0.00338835667233428,0.753388356672334,0.746611643327666,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE
